class_0,mmr_0,class_1,mmr_1,class_2,mmr_2,class_3,mmr_3,class_4,mmr_4,class_5,mmr_5,class_6,mmr_6,class_7,mmr_7,class_8,mmr_8,class_9,mmr_9,win,kerri_win_pct
Dehaka,2140,Scientist,1560,Ares,2020,Selendis,1560,Stukov,1160,Prophet,1220,Dark Templar,600.0,Helios,1360.0,Spirit,1560.0,Niadra,1220.0,Survivor,0.71912
Swann,1640,Team Nova,1840,Mira,1320,Spirit,1200,Dehaka,2120,Zagara,1380,Stukov,1700.0,Ascendant,1200.0,Helios,1260.0,Ascendant,1060.0,Kerrigan,0.8205027
Scientist,1620,Dehaka,1160,Spirit,1580,Prophet,1320,Helios,1420,Ascendant,1220,Stukov,1140.0,Engineer,1460.0,Zagara,1120.0,Ascendant,1220.0,Survivor,0.2743343
Selendis,1440,Ascendant,1980,Scientist,1800,Team Nova,2440,Spirit,1940,Kerrigan,2520,Ascendant,1200.0,Spirit,1440.0,Prophet,1260.0,,,Survivor,0.9465146
Nomad,1360,Team Nova,1540,Thakras,1080,Ascendant,1180,Mira,1420,Spirit,1300,Ares,1200.0,Niadra,1380.0,Nomad,1440.0,Ascendant,1200.0,Kerrigan,0.43573552
Stukov,1120,Team Nova,1560,Spirit,1400,Prophet,1360,Spirit,1100,Kerrigan,1460,Ascendant,1320.0,Ares,1380.0,Zagara,1040.0,Artanis,1120.0,Kerrigan,0.4825826
Scientist,2180,Prophet,2180,Nomad,1420,Team Nova,1900,Scientist,1800,Dehaka,900,Selendis,1700.0,Ascendant,1520.0,Zagara,1440.0,Spirit,2200.0,Survivor,0.030643469
Ascendant,2140,Artanis,1160,Kerrigan,1820,Mira,1300,Scientist,1280,Selendis,1380,Dark Templar,820.0,Zagara,2440.0,Scientist,1760.0,Spirit,1500.0,Kerrigan,0.9350903
Scientist,1460,Stukov,1280,Engineer,1640,Selendis,1120,Team Nova,1820,Scientist,2220,Zagara,1180.0,Dehaka,1360.0,Ascendant,1360.0,Dark Templar,1680.0,Survivor,0.14005224
Dark Templar,1740,Spirit,1220,Scientist,1120,Team Nova,1380,Zagara,1200,Spirit,1240,Stukov,1220.0,Stukov,1180.0,Nomad,1480.0,Dehaka,1160.0,Survivor,0.34075668
Team Nova,1860,Nomad,1700,Ascendant,1300,Swann,1380,Niadra,1360,Ascendant,1820,Scientist,1840.0,Stukov,1900.0,Spirit,1800.0,Kerrigan,1420.0,Survivor,0.15170823
Artanis,1160,Swann,1700,Ascendant,1620,Ascendant,1380,Dehaka,1200,Stukov,1460,Dark Templar,1580.0,Scientist,2080.0,Niadra,1480.0,Artanis,1640.0,Kerrigan,0.2033169
Ares,1180,Kerrigan,1360,Selendis,1340,Niadra,1380,Nomad,1860,Scientist,1200,Prophet,1360.0,Scientist,1260.0,Team Nova,1400.0,Mira,1440.0,Kerrigan,0.4526512
Ares,1440,Zagara,2260,Stukov,1140,Dehaka,1540,Ascendant,1380,Scientist,1200,Dark Templar,1280.0,Artanis,2160.0,Spirit,1560.0,Ares,1540.0,Kerrigan,0.83649844
Selendis,1380,Ascendant,1640,Selendis,1320,Ascendant,1160,Swann,1420,Prophet,1140,Zagara,1140.0,Kerrigan,1300.0,Ascendant,1200.0,Scientist,1660.0,Survivor,0.34669223
Kerrigan,2040,Scientist,1660,Nomad,1440,Nomad,1520,Selendis,1380,Ascendant,1220,Prophet,1520.0,Stukov,1200.0,Niadra,1360.0,Ascendant,1480.0,Kerrigan,0.7687223
Kerrigan,1780,Spirit,1180,Ares,1200,Ascendant,1300,Spirit,1960,Team Nova,1860,Helios,1240.0,Niadra,1100.0,Ascendant,1280.0,Scientist,2060.0,Survivor,0.40091273
Kerrigan,2480,Ascendant,1180,Artanis,1220,Zagara,1360,Ascendant,1500,Helios,1980,Selendis,820.0,Nomad,1520.0,Mira,2160.0,Artanis,1500.0,Kerrigan,0.8193
Team Nova,2020,Prophet,2460,Spirit,1620,Dehaka,2400,Selendis,1620,Ascendant,1440,Ascendant,1880.0,Zagara,1260.0,Ascendant,1260.0,Ascendant,1200.0,Kerrigan,0.5170759
Ascendant,1260,Mira,1700,Scientist,1180,Kerrigan,1120,Zagara,1280,Spirit,1220,Ares,1180.0,Team Nova,1360.0,Ascendant,1200.0,Nomad,1420.0,Kerrigan,0.3932054
Team Nova,1440,Scientist,1200,Scientist,1160,Scientist,1400,Selendis,2220,Prophet,1500,Kerrigan,1820.0,Artanis,2000.0,Dark Templar,1500.0,Zagara,2460.0,Kerrigan,0.87452245
Thakras,1140,Nomad,1640,Helios,1500,Niadra,1440,Dark Templar,1160,Stukov,1100,Scientist,1480.0,Artanis,1220.0,Ascendant,1360.0,Nomad,1320.0,Survivor,0.45434526
Ascendant,2360,Niadra,1860,Prophet,1440,Scientist,1200,Stukov,2100,Kerrigan,1400,Ascendant,1240.0,Stukov,1340.0,Ares,1200.0,Ares,1220.0,Kerrigan,0.49896443
Dark Templar,1600,Nomad,1280,Selendis,2200,Stukov,2000,Selendis,1400,Scientist,1500,Nomad,1440.0,Niadra,1300.0,Kerrigan,1820.0,Spirit,2020.0,Kerrigan,0.30863526
Swann,860,Prophet,1720,Spirit,1340,Niadra,1920,Selendis,2140,Dehaka,1140,Scientist,1340.0,Dark Templar,1340.0,,,,,Survivor,0.6134771
Dark Templar,1180,Spirit,1620,Engineer,1400,Scientist,1280,Prophet,1380,Stukov,1280,Dehaka,2200.0,Scientist,1280.0,Ascendant,1240.0,Niadra,1120.0,Kerrigan,0.82974434
Selendis,2080,Mira,1720,Kerrigan,2340,Spirit,2220,Prophet,960,Nomad,1360,Team Nova,2020.0,Dark Templar,1760.0,Zagara,1100.0,Ascendant,1200.0,Kerrigan,0.4405288
Mira,2080,Scientist,1440,Spirit,1800,Niadra,1060,Dehaka,1380,Scientist,1900,Helios,1640.0,Stukov,1640.0,Prophet,1460.0,Spirit,1720.0,Survivor,0.07762877
Dark Templar,1380,Zagara,1240,Mira,1620,Ascendant,1380,Scientist,2580,Swann,1420,Scientist,1000.0,Selendis,1260.0,Prophet,1380.0,Thakras,1180.0,Survivor,0.1174602
Spirit,1200,Zagara,1140,Spirit,1800,Thakras,1140,Mira,1360,Selendis,1480,Scientist,1760.0,Artanis,1540.0,Scientist,1180.0,Dark Templar,840.0,Survivor,0.2107607
Spirit,1420,Nomad,1300,Swann,1360,Niadra,1320,Ares,1160,Dark Templar,1260,Dehaka,1820.0,Prophet,1440.0,Scientist,1420.0,Ares,1200.0,Kerrigan,0.78031605
Ascendant,1160,Team Nova,1280,Ascendant,1460,Artanis,1200,Stukov,1880,Spirit,1180,Spirit,1820.0,Zagara,1160.0,Dark Templar,1160.0,Kerrigan,1380.0,Survivor,0.33292386
Prophet,1340,Dehaka,1980,Dark Templar,1520,Selendis,2020,Selendis,1100,Artanis,1120,Niadra,1080.0,Scientist,1600.0,Selendis,1500.0,Helios,1520.0,Kerrigan,0.49472508
Prophet,2300,Scientist,1520,Scientist,1680,Zagara,1260,Spirit,1800,Ascendant,1200,Scientist,1760.0,Ascendant,1700.0,Ascendant,2460.0,Dehaka,1840.0,Survivor,0.13582005
Dark Templar,2400,Ascendant,2400,Ascendant,1900,Kerrigan,1340,Ascendant,1180,Ascendant,1180,Prophet,1460.0,Zagara,1100.0,Spirit,1120.0,Nomad,1520.0,Survivor,0.08216181
Stukov,1620,Zagara,1140,Spirit,1180,Dehaka,1100,Scientist,1200,Ares,980,Spirit,1160.0,Scientist,1360.0,Scientist,1320.0,Ascendant,1200.0,Survivor,0.3867806
Scientist,2320,Nomad,2220,Spirit,1840,Zagara,1180,Ascendant,2540,Prophet,2580,Scion,1740.0,Ascendant,1420.0,,,,,Survivor,0.011164652
Mira,1480,Stukov,1380,Nomad,1680,Ascendant,1400,Prophet,1540,Swann,1460,Ascendant,1180.0,Team Nova,1640.0,Zagara,1100.0,,,Survivor,0.15727445
Ares,1540,Swann,1180,Selendis,1520,Ascendant,1200,Zagara,1360,Scientist,1200,Kerrigan,2320.0,Nomad,1260.0,,,,,Kerrigan,0.9398933
Dark Templar,1260,Selendis,1500,Kerrigan,1040,Artanis,1500,Scientist,1420,Zagara,1200,Prophet,1460.0,Artanis,1480.0,Spirit,1300.0,Scientist,1200.0,Survivor,0.25440824
Team Nova,2220,Zagara,1600,Swann,1520,Dehaka,1140,Stukov,1220,Scientist,1680,Scientist,1300.0,Spirit,1160.0,Nomad,1460.0,Prophet,1180.0,Survivor,0.30899218
Thakras,2580,Stukov,2300,Stukov,2080,Ascendant,1780,Selendis,1320,Ascendant,2200,Spirit,1900.0,Team Nova,1860.0,Zagara,1260.0,Swann,1820.0,Survivor,0.4068798
Ascendant,1180,Dehaka,1980,Ascendant,1180,Scientist,1720,Zagara,1260,Dark Templar,1600,Ascendant,1200.0,Nomad,1320.0,Ascendant,1200.0,Ascendant,1160.0,Kerrigan,0.79859006
Swann,1840,Engineer,1380,Team Nova,920,Selendis,1400,Nomad,1440,Ascendant,1460,Spirit,1360.0,Scientist,1200.0,Kerrigan,1140.0,,,Survivor,0.22328123
Spirit,1640,Artanis,1120,Mira,1560,Selendis,1420,Scientist,1400,Thakras,1000,Prophet,1260.0,Selendis,1080.0,Zagara,1340.0,Ascendant,1200.0,Survivor,0.32956707
Ascendant,1100,Zagara,1280,Artanis,1260,Swann,1320,Dehaka,1780,Spirit,1340,Prophet,1100.0,Artanis,1200.0,Dark Templar,1300.0,Ascendant,1300.0,Kerrigan,0.81571174
Ares,1560,Dark Templar,1560,Ascendant,1140,Ascendant,1200,Dehaka,1160,Stukov,1200,Spirit,1140.0,Niadra,1200.0,Mira,1580.0,Prophet,1140.0,Survivor,0.39459506
Scientist,1660,Team Nova,1880,Stukov,1120,Ascendant,2200,Scientist,1920,Selendis,1680,Prophet,1440.0,Zagara,1520.0,Dehaka,1260.0,Ascendant,1140.0,Survivor,0.17058828
Spirit,1280,Prophet,1480,Dehaka,1280,Spirit,1440,Artanis,1160,Zagara,1500,Scientist,2300.0,Mira,1840.0,Ascendant,960.0,Selendis,1580.0,Survivor,0.2612759
Ascendant,1240,Selendis,1400,Zagara,1540,Scientist,1220,Prophet,1700,Scientist,1300,Dark Templar,2260.0,Dehaka,1160.0,Mira,1760.0,Ares,1040.0,Survivor,0.2720145
Zagara,1120,Scientist,1500,Stukov,1060,Spirit,1500,Dehaka,1100,Dark Templar,1800,Prophet,1540.0,Mira,1320.0,Scientist,1400.0,Stukov,1440.0,Survivor,0.15983191
Ascendant,1640,Nomad,1420,Scientist,1720,Kerrigan,1140,Artanis,1340,Helios,1420,Swann,1660.0,Spirit,1500.0,Zagara,1220.0,Ascendant,1200.0,Survivor,0.20576052
Prophet,1280,Ascendant,1220,Mira,2020,Dehaka,1160,Scientist,1640,Artanis,1220,Ares,1160.0,Zagara,1480.0,Ascendant,1300.0,Scientist,1720.0,Survivor,0.3411989
Dark Templar,1660,Scientist,1900,Swann,1580,Stukov,1160,Artanis,1180,Niadra,1220,Dehaka,1720.0,Artanis,1220.0,Stukov,1340.0,,,Kerrigan,0.57383573
Zagara,1040,Ascendant,1480,Scientist,1940,Prophet,1440,Kerrigan,1140,Ascendant,1180,Selendis,1540.0,Dark Templar,1300.0,Scientist,1420.0,Selendis,1280.0,Survivor,0.14830725
Scientist,2220,Kerrigan,1420,Prophet,1140,Scientist,1320,Spirit,1540,Team Nova,1640,Niadra,1240.0,Nomad,1300.0,Swann,1500.0,,,Survivor,0.25514412
Team Nova,1880,Dehaka,1300,Niadra,1180,Ares,1200,Spirit,1160,Prophet,1440,Selendis,1220.0,Helios,1520.0,Helios,1180.0,,,Kerrigan,0.37881044
Prophet,2580,Helios,2520,Mira,1640,Artanis,1400,Mira,2260,Scientist,1340,Kerrigan,1540.0,Ascendant,1380.0,Niadra,1200.0,Scion,1720.0,Survivor,0.06101915
Scientist,1200,Selendis,1640,Scientist,1760,Zagara,1420,Artanis,1300,Spirit,1640,Dehaka,1400.0,Ares,1800.0,Engineer,1400.0,,,Survivor,0.38747633
Ascendant,600,Nomad,1220,Nomad,1580,Helios,1460,Zagara,1140,Team Nova,1400,Nomad,1460.0,Spirit,1560.0,Dehaka,2000.0,,,Kerrigan,0.7572895
Kerrigan,1100,Ares,1500,Ascendant,1460,Engineer,1600,Team Nova,2460,Ascendant,1200,Zagara,1340.0,Ascendant,1200.0,,,,,Survivor,0.17903346
Scientist,1680,Dark Templar,1220,Prophet,1880,Stukov,1160,Swann,1560,Dehaka,1560,Scientist,1680.0,Zagara,1080.0,Nomad,1640.0,Selendis,1640.0,Survivor,0.20482953
Spirit,1940,Team Nova,1520,Niadra,1060,Ascendant,1440,Prophet,1640,Kerrigan,1060,Stukov,1280.0,Helios,1380.0,Stukov,1160.0,Ascendant,1620.0,Survivor,0.10309837
Swann,1440,Zagara,1540,Prophet,1680,Ascendant,1220,Scientist,1000,Spirit,1640,Thakras,1240.0,Scientist,1600.0,Spirit,1580.0,Scientist,1700.0,Survivor,0.3605736
Artanis,1560,Team Nova,1900,Stukov,1220,Ascendant,1200,Artanis,1920,Dark Templar,1700,Ares,1920.0,Prophet,1580.0,Dehaka,1520.0,Zagara,1360.0,Survivor,0.22582035
Kerrigan,1280,Ascendant,1240,Prophet,1220,Selendis,1520,Zagara,1100,Ares,1520,Ascendant,1140.0,Spirit,1460.0,Nomad,1040.0,Scientist,1200.0,Survivor,0.4263535
Team Nova,1220,Prophet,1220,Nomad,2080,Ascendant,1720,Zagara,1000,Kerrigan,1280,Dark Templar,1500.0,Scientist,1340.0,Spirit,1320.0,Ascendant,1200.0,Survivor,0.16379017
Scientist,1400,Selendis,1420,Scientist,1900,Selendis,1400,Artanis,1300,Ascendant,1500,Dark Templar,1320.0,Zagara,1700.0,Kerrigan,1200.0,Prophet,1560.0,Survivor,0.44049025
Dehaka,2180,Selendis,1460,Stukov,1380,Ascendant,1160,Ascendant,1180,Prophet,840,Swann,1240.0,Ascendant,1300.0,Zagara,1340.0,Selendis,1380.0,Kerrigan,0.92012423
